"","thalwagX","thalwagY"
"355",305393.05,4907416.95
"354",305393.052,4907416.9362
"353",305393.0251,4907416.8391
"352",305392.9556,4907416.6646
"351",305392.891,4907416.531
"350",305392.8092,4907416.3809
"349",305392.6506,4907416.1204
"348",305392.4638,4907415.8392
"347",305391.8628,4907414.9702
"346",305391.6948,4907414.7031
"345",305391.5648,4907414.4609
"344",305391.4764,4907414.2571
"343",305391.2397,4907413.6331
"342",305391.1472,4907413.4303
"341",305391.0207,4907413.2046
"340",305390.8766,4907412.9858
"339",305390.7203,4907412.7718
"338",305390.0524,4907411.9327
"337",305389.8913,4907411.7204
"336",305389.7393,4907411.5045
"335",305389.6005,4907411.2833
"334",305389.4798,4907411.0549
"333",305389.3853,4907410.8325
"332",305389.14,4907410.1506
"331",305389.043,4907409.9297
"330",305388.9097,4907409.6902
"329",305388.7549,4907409.4595
"328",305388.5841,4907409.2357
"327",305388.4014,4907409.0169
"326",305388.21,4907408.8021
"325",305388.0121,4907408.5906
"324",305387.6024,4907408.1768
"323",305387.392,4907407.975
"322",305387.178,4907407.7779
"321",305386.9598,4907407.5868
"320",305386.7367,4907407.404
"319",305386.507,4907407.2323
"318",305386.2902,4907407.0874
"317",305386.0682,4907406.9537
"316",305385.8423,4907406.8307
"315",305385.336,4907406.5743
"314",305385.1236,4907406.4522
"313",305384.5017,4907406.0562
"312",305384.2923,4907405.9294
"311",305384.0782,4907405.8131
"310",305383.8659,4907405.7138
"309",305382.8979,4907405.308
"308",305382.6827,4907405.2058
"307",305382.4701,4907405.0956
"306",305381.629,4907404.6348
"305",305381.2081,4907404.4172
"304",305380.9753,4907404.2838
"303",305380.5141,4907404.0054
"302",305380.2792,4907403.8738
"301",305380.1038,4907403.7858
"300",305379.9257,4907403.7035
"299",305379.7072,4907403.6102
"298",305379.4853,4907403.5269
"297",305379.2319,4907403.4486
"296",305378.72,4907403.3121
"295",305378.4678,4907403.2372
"294",305378.2225,4907403.1463
"293",305377.9847,4907403.0312
"292",305377.7548,4907402.8973
"291",305377.5302,4907402.7511
"290",305376.9721,4907402.3606
"289",305376.8566,4907402.2769
"288",305376.6569,4907402.1201
"287",305376.4631,4907401.9534
"286",305376.2753,4907401.7785
"285",305376.0942,4907401.5964
"284",305375.921,4907401.4079
"283",305375.7577,4907401.2128
"282",305375.607,4907401.0106
"281",305375.4728,4907400.8002
"280",305375.3635,4907400.5938
"279",305375.2649,4907400.3821
"278",305375.1601,4907400.139
"277",305375.0691,4907399.8895
"276",305374.9991,4907399.6286
"275",305374.9477,4907399.3597
"274",305374.9102,4907399.0849
"273",305374.8831,4907398.8061
"272",305374.8641,4907398.5247
"271",305374.8518,4907398.242
"270",305374.8458,4907397.9591
"269",305374.8464,4907397.677
"268",305374.8549,4907397.3969
"267",305374.8736,4907397.1202
"266",305374.9058,4907396.8485
"265",305374.9562,4907396.5839
